month_name,ride_count_casual,ride_count_member,avg_duration_casual,avg_duration_member,total_rides,casual_percentage
January,17110,84130,13.07,9.91,101240,16.9
February,19632,89937,13.39,9.86,109569,17.92
March,61673,148167,19.67,11.15,209840,29.39
April,77004,181852,20.72,11.37,258856,29.75
May,125635,214999,23.23,12.11,340634,36.88
June,193163,253200,24.59,13.08,446363,43.27
July,208740,285553,24.1,13.43,494293,42.23
August,221200,294333,24.27,13.18,515533,42.91
September,172500,295381,21.85,12.67,467881,36.87
October,143530,274347,20.46,12.4,417877,34.35
November,68823,177148,17.72,10.95,245971,27.98
December,28223,102507,14.91,10.51,130730,21.59
