Serial no.,start_station_name,start_station_id,number of rides
1,DuSable Lake Shore Dr & Monroe St,CHI00374,28777
2,Streeter Dr & Grand Ave,CHI01747,23901
3,Navy Pier,CHI01747,23192
4,Michigan Ave & Oak St,CHI00252,16060
5,DuSable Lake Shore Dr & North Blvd,CHI00525,14172
6,Millennium Park,CHI01742,12504
7,Theater on the Lake,CHI00420,11394
8,Shedd Aquarium,CHI00533,10963
9,Dusable Harbor,CHI00531,10099
10,Michigan Ave & 8th St,CHI01163,7604
11,Montrose Harbor,CHI00427,7401
12,Adler Planetarium,CHI00360,6936
13,Field Museum,CHI01749,6462
14,Clark St & Lincoln Ave,CHI00413,6116
15,Michigan Ave & Washington St,CHI01677,6106
16,Wabash Ave & Grand Ave,CHI00313,6050
17,Clark St & Armitage Ave,CHI00474,5971
18,Indiana Ave & Roosevelt Rd,CHI00450,5822
