rank,start_station_name,start_station_id,ride_count
1,Kingsbury St & Kinzie St,KA1503000043,27857
2,Clinton St & Washington Blvd,CHI00509,22815
3,Clinton St & Madison St,TA1305000032,20152
4,Clark St & Elm St,TA1307000039,19211
5,Canal St & Madison St,CHI00498,19174
6,Clinton St & Jackson Blvd,CHI01091,16765
7,DuSable Lake Shore Dr & North Blvd,CHI00525,9746
8,University Ave & 57th St,KA1503000071,9351
9,State St & Chicago Ave,CHI01772,9275
10,Wells St & Concord Ln,CHI00396,9188
11,Wells St & Huron St,CHI00294,9144
12,Wells St & Elm St,CHI00540,9120
13,Ellis Ave & 60th St,KA1503000014,8382
14,Theater on the Lake,CHI00420,7929
